_id,pin,address,start_year,approved_date,program_name,num_years,abatement_amount,neighborhood,council_district,ward,dpw_streets,dpw_enviro,dpw_parks,police_zone,fire_zone,longitude,latitude
51283,0001G00043000000,300 LIBERTY AVE,2013,2011-09-27,RESIDENTIAL LERTA,10,150000,Central Business District,6,1,6,Central,Riverview,2,1-3,-80.00620088006525,40.44054896027709
51284,0049J00352000000,258 39TH ST,2014,2011-09-27,ACT42 ENHANCED RESIDENTIAL,10,250000,Lower Lawrenceville,7,6,2,Central,Highland,2,3-3,-79.9622796304629,40.46603297481475
51285,0023M00280000000,533 TRIPOLI ST,2013,2011-09-27,ACT42 ENHANCED RESIDENTIAL,10,250000,East Allegheny,1,23,1,Northern,Riverview,1,1-6,-80.00013281976875,40.45597753167215
51286,0011K00282000000,2015 FORBES AVE,,2022-04-14,CHAPTER 265 ENHANCED,10,250000,Bluff,6,1,3,Central,Schenley,2,2-1,-79.9770390385313,40.43749607548461
51287,0025D00104000000,3350 PENN AVE,,2022-04-28,CHAPTER 265 ENHANCED,10,250000,Lower Lawrenceville,7,6,1,Central,Northeast,2,3-2,-79.96740646132262,40.46222444468811
51288,0048S00278000000,3404 PENN AVE,,2022-04-28,CHAPTER 265 ENHANCED,10,250000,Lower Lawrenceville,7,6,1,Central,Northeast,2,3-6,-79.96686677153421,40.46259657372489
51289,0012H00250000000,2626 TUNNEL BLVD,2017,2015-05-22,LOCAL ECONOMIC STIMULUS,10,250000,South Side Flats,3,16,4,Southern,Schenley,3,4-24,-79.96704452784581,40.4289206995153
51290,0012H00265000000,455 S 26TH ST,2017,2015-05-22,LOCAL ECONOMIC STIMULUS,10,250000,South Side Flats,3,16,4,Southern,Schenley,3,4-24,-79.96730840542385,40.428428272929736
51291,0012H00265000100,2626 TUNNEL BLVD,2018,2015-05-22,LOCAL ECONOMIC STIMULUS,10,250000,South Side Flats,3,16,4,Southern,Schenley,3,4-24,-79.96718439151499,40.42840898206694
51292,0012H00265000200,2639 SIDNEY ST,2018,2015-05-22,LOCAL ECONOMIC STIMULUS,10,250000,South Side Flats,3,16,4,Southern,Schenley,3,4-24,-79.96732400803616,40.42844554464003
51293,0012H00265000300,2603 SIDNEY ST,2018,2015-05-22,LOCAL ECONOMIC STIMULUS,10,250000,South Side Flats,3,16,4,Southern,Schenley,3,4-24,-79.96745934963779,40.42848093360308
51294,0027B00105000000,BRYN MAWR RD,,2015-05-22,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Hill,6,5,3,Central,Schenley,2,2-22,-79.95844088621881,40.451690618286634
51295,0027B00106000000,BRYN MAWR RD,,2015-05-22,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Hill,6,5,3,Central,Schenley,2,2-22,-79.95833518740781,40.45165499504365
51296,0027B00111000000,918 BRYN MAWR RD,2018,2015-05-22,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Hill,6,5,3,Central,Schenley,2,2-22,-79.95823314437494,40.451621060143054
51297,0027B00117000000,913 ANAHEIM ST,2018,2015-05-21,ACT42 ENHANCED RESIDENTIAL,10,250000,Upper Hill,6,5,3,Central,Schenley,2,2-22,-79.9585128528755,40.45148307289811
